symbol,date,dcf,Stock Price,endpoint
AAPL,2026-05-30,159.21901937169594,312.06,discounted-cash-flow
MSFT,2026-05-30,311.651918859619,450.24,discounted-cash-flow
GOOGL,2026-05-30,130.32856796176603,380.34,discounted-cash-flow
AMZN,2026-05-30,80.21927985026245,270.64,discounted-cash-flow
META,2026-05-30,282.24934680146475,632.51,discounted-cash-flow
NVDA,2026-05-30,243.2502070416933,211.14,discounted-cash-flow
TSLA,2026-05-30,18.829190834299833,435.79,discounted-cash-flow
NFLX,2026-05-30,122.23280119889151,86.02,discounted-cash-flow
AMD,2026-05-30,51.648056057391756,516.1,discounted-cash-flow
INTC,2026-05-30,2.9073576337684774,114.68,discounted-cash-flow
JPM,2026-05-30,742.2610067518144,299.31,discounted-cash-flow
V,2026-05-30,226.07900967320563,326.36,discounted-cash-flow
COST,2026-05-30,317.9749583233858,956.32,discounted-cash-flow
WMT,2026-05-30,139.76313755879212,115.75,discounted-cash-flow
